,round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
0,RS,1,"Oct 03, 2024",18:45,1,E2024_1,Regular Season,ALBA BERLIN,BER,77,PANATHINAIKOS AKTOR ATHENS,PAN,87,True
1,RS,1,"Oct 03, 2024",19:00,2,E2024_2,Regular Season,AS MONACO,MCO,93,EA7 EMPORIO ARMANI MILAN,MIL,80,True
2,RS,1,"Oct 03, 2024",19:00,3,E2024_3,Regular Season,ZALGIRIS KAUNAS,ZAL,74,FC BARCELONA,BAR,67,True
3,RS,1,"Oct 03, 2024",20:30,4,E2024_4,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,88,PARTIZAN MOZZART BET BELGRADE,PAR,82,True
4,RS,1,"Oct 03, 2024",20:45,5,E2024_5,Regular Season,FC BAYERN MUNICH,MUN,97,REAL MADRID,MAD,89,True
5,RS,1,"Oct 03, 2024",21:00,6,E2024_6,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,89,LDLC ASVEL VILLEURBANNE,ASV,82,True
6,RS,1,"Oct 04, 2024",19:30,7,E2024_7,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,82,OLYMPIACOS PIRAEUS,OLY,71,True
7,RS,1,"Oct 04, 2024",21:00,8,E2024_8,Regular Season,PARIS BASKETBALL,PRS,77,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,80,True
8,RS,1,"Oct 04, 2024",21:00,9,E2024_9,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,67,ANADOLU EFES ISTANBUL,IST,76,True
9,RS,2,"Oct 09, 2024",19:00,10,E2024_10,Regular Season,AS MONACO,MCO,85,MACCABI PLAYTIKA TEL AVIV,TEL,79,True
10,RS,2,"Oct 09, 2024",20:00,11,E2024_11,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,78,BASKONIA VITORIA-GASTEIZ,BAS,71,True
11,RS,2,"Oct 10, 2024",19:30,12,E2024_12,Regular Season,ANADOLU EFES ISTANBUL,IST,78,FENERBAHCE BEKO ISTANBUL,ULK,83,True
12,RS,2,"Oct 10, 2024",20:00,13,E2024_13,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,87,VIRTUS SEGAFREDO BOLOGNA,VIR,85,True
13,RS,2,"Oct 10, 2024",20:15,14,E2024_14,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,94,FC BAYERN MUNICH,MUN,79,True
14,RS,2,"Oct 10, 2024",20:45,15,E2024_15,Regular Season,REAL MADRID,MAD,93,PARTIZAN MOZZART BET BELGRADE,PAR,86,True
15,RS,2,"Oct 11, 2024",20:30,16,E2024_16,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,79,PARIS BASKETBALL,PRS,74,True
16,RS,2,"Oct 11, 2024",20:30,17,E2024_17,Regular Season,FC BARCELONA,BAR,88,ALBA BERLIN,BER,73,True
17,RS,2,"Oct 11, 2024",20:15,18,E2024_18,Regular Season,OLYMPIACOS PIRAEUS,OLY,74,ZALGIRIS KAUNAS,ZAL,68,True
18,RS,3,"Oct 15, 2024",19:30,19,E2024_19,Regular Season,ALBA BERLIN,BER,84,LDLC ASVEL VILLEURBANNE,ASV,79,True
19,RS,3,"Oct 15, 2024",19:45,20,E2024_20,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,57,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,76,True
20,RS,3,"Oct 15, 2024",20:15,21,E2024_21,Regular Season,OLYMPIACOS PIRAEUS,OLY,89,EA7 EMPORIO ARMANI MILAN,MIL,68,True
21,RS,3,"Oct 15, 2024",20:30,22,E2024_22,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,76,REAL MADRID,MAD,72,True
22,RS,3,"Oct 15, 2024",20:30,23,E2024_23,Regular Season,PARIS BASKETBALL,PRS,84,PANATHINAIKOS AKTOR ATHENS,PAN,80,True
23,RS,3,"Oct 15, 2024",20:30,24,E2024_24,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,68,ZALGIRIS KAUNAS,ZAL,71,True
24,RS,3,"Oct 16, 2024",20:30,25,E2024_25,Regular Season,FC BARCELONA,BAR,86,AS MONACO,MCO,71,True
25,RS,3,"Oct 15, 2024",20:45,26,E2024_26,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,86,FC BAYERN MUNICH,MUN,78,True
26,RS,3,"Oct 15, 2024",20:05,27,E2024_27,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,93,ANADOLU EFES ISTANBUL,IST,91,True
27,RS,4,"Oct 17, 2024",19:30,28,E2024_28,Regular Season,ALBA BERLIN,BER,71,FENERBAHCE BEKO ISTANBUL,ULK,78,True
28,RS,4,"Oct 17, 2024",20:30,29,E2024_29,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,82,ZALGIRIS KAUNAS,ZAL,85,True
29,RS,4,"Oct 17, 2024",20:45,30,E2024_30,Regular Season,FC BAYERN MUNICH,MUN,109,PARIS BASKETBALL,PRS,107,True
30,RS,4,"Oct 17, 2024",20:45,31,E2024_31,Regular Season,REAL MADRID,MAD,90,PANATHINAIKOS AKTOR ATHENS,PAN,86,True
31,RS,4,"Oct 17, 2024",20:05,32,E2024_32,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,79,PARTIZAN MOZZART BET BELGRADE,PAR,91,True
32,RS,4,"Oct 18, 2024",19:00,33,E2024_33,Regular Season,AS MONACO,MCO,101,VIRTUS SEGAFREDO BOLOGNA,VIR,85,True
33,RS,4,"Oct 18, 2024",19:30,34,E2024_34,Regular Season,ANADOLU EFES ISTANBUL,IST,91,OLYMPIACOS PIRAEUS,OLY,89,True
34,RS,4,"Oct 18, 2024",20:00,35,E2024_35,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,94,FC BARCELONA,BAR,98,True
35,RS,4,"Oct 18, 2024",20:30,36,E2024_36,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,76,BASKONIA VITORIA-GASTEIZ,BAS,69,True
36,RS,5,"Oct 23, 2024",20:30,37,E2024_37,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,69,VIRTUS SEGAFREDO BOLOGNA,VIR,70,True
37,RS,5,"Oct 24, 2024",19:00,38,E2024_38,Regular Season,AS MONACO,MCO,80,PARIS BASKETBALL,PRS,87,True
38,RS,5,"Oct 24, 2024",19:00,39,E2024_39,Regular Season,ZALGIRIS KAUNAS,ZAL,78,MACCABI PLAYTIKA TEL AVIV,TEL,63,True
39,RS,5,"Oct 24, 2024",20:30,40,E2024_40,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,84,ANADOLU EFES ISTANBUL,IST,96,True
40,RS,5,"Oct 24, 2024",20:30,41,E2024_41,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,80,ALBA BERLIN,BER,57,True
41,RS,5,"Oct 24, 2024",20:45,42,E2024_42,Regular Season,REAL MADRID,MAD,95,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,72,True
42,RS,5,"Oct 25, 2024",19:45,43,E2024_43,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,76,PANATHINAIKOS AKTOR ATHENS,PAN,81,True
43,RS,5,"Oct 25, 2024",20:30,44,E2024_44,Regular Season,FC BARCELONA,BAR,90,LDLC ASVEL VILLEURBANNE,ASV,83,True
44,RS,5,"Oct 25, 2024",20:45,45,E2024_45,Regular Season,FC BAYERN MUNICH,MUN,84,OLYMPIACOS PIRAEUS,OLY,80,True
45,RS,6,"Oct 29, 2024",18:30,46,E2024_46,Regular Season,ANADOLU EFES ISTANBUL,IST,88,FC BARCELONA,BAR,97,True
46,RS,6,"Oct 29, 2024",19:30,47,E2024_47,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,84,MACCABI PLAYTIKA TEL AVIV,TEL,82,True
47,RS,6,"Oct 30, 2024",19:00,48,E2024_48,Regular Season,ZALGIRIS KAUNAS,ZAL,86,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,84,True
48,RS,6,"Oct 29, 2024",19:30,49,E2024_49,Regular Season,ALBA BERLIN,BER,83,PARIS BASKETBALL,PRS,92,True
49,RS,6,"Oct 29, 2024",20:15,50,E2024_50,Regular Season,OLYMPIACOS PIRAEUS,OLY,79,REAL MADRID,MAD,69,True
50,RS,6,"Oct 30, 2024",20:15,51,E2024_51,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,92,LDLC ASVEL VILLEURBANNE,ASV,68,True
51,RS,6,"Oct 29, 2024",20:30,52,E2024_52,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,88,EA7 EMPORIO ARMANI MILAN,MIL,83,True
52,RS,6,"Oct 30, 2024",20:45,53,E2024_53,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,74,AS MONACO,MCO,79,True
53,RS,6,"Oct 29, 2024",21:00,54,E2024_54,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,84,FC BAYERN MUNICH,MUN,87,True
54,RS,7,"Oct 31, 2024",20:00,55,E2024_55,Regular Season,ALBA BERLIN,BER,70,ANADOLU EFES ISTANBUL,IST,86,True
55,RS,7,"Oct 31, 2024",20:15,56,E2024_56,Regular Season,OLYMPIACOS PIRAEUS,OLY,95,FC BARCELONA,BAR,74,True
56,RS,7,"Oct 31, 2024",20:30,57,E2024_57,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,99,VIRTUS SEGAFREDO BOLOGNA,VIR,90,True
57,RS,7,"Oct 31, 2024",20:05,58,E2024_58,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,79,REAL MADRID,MAD,78,True
58,RS,7,"Nov 01, 2024",18:45,59,E2024_59,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,89,PARTIZAN MOZZART BET BELGRADE,PAR,72,True
59,RS,7,"Nov 01, 2024",19:00,60,E2024_60,Regular Season,ZALGIRIS KAUNAS,ZAL,63,AS MONACO,MCO,62,True
60,RS,7,"Nov 01, 2024",20:00,61,E2024_61,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,PANATHINAIKOS AKTOR ATHENS,PAN,81,True
61,RS,7,"Nov 01, 2024",20:00,62,E2024_62,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,71,FC BAYERN MUNICH,MUN,84,True
62,RS,7,"Nov 01, 2024",20:45,63,E2024_63,Regular Season,PARIS BASKETBALL,PRS,67,BASKONIA VITORIA-GASTEIZ,BAS,65,True
63,RS,8,"Nov 08, 2024",18:00,64,E2024_64,Regular Season,ANADOLU EFES ISTANBUL,IST,69,AS MONACO,MCO,81,True
64,RS,8,"Nov 07, 2024",19:00,65,E2024_65,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,92,ALBA BERLIN,BER,71,True
65,RS,8,"Nov 07, 2024",20:30,66,E2024_66,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,85,REAL MADRID,MAD,76,True
66,RS,8,"Nov 07, 2024",20:45,67,E2024_67,Regular Season,FC BAYERN MUNICH,MUN,77,ZALGIRIS KAUNAS,ZAL,74,True
67,RS,8,"Nov 07, 2024",20:45,68,E2024_68,Regular Season,PARIS BASKETBALL,PRS,74,PARTIZAN MOZZART BET BELGRADE,PAR,71,True
68,RS,8,"Nov 08, 2024",20:00,69,E2024_69,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,73,FENERBAHCE BEKO ISTANBUL,ULK,77,True
69,RS,8,"Nov 08, 2024",20:15,70,E2024_70,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,89,OLYMPIACOS PIRAEUS,OLY,94,True
70,RS,8,"Nov 08, 2024",20:30,71,E2024_71,Regular Season,FC BARCELONA,BAR,91,BASKONIA VITORIA-GASTEIZ,BAS,68,True
71,RS,8,"Nov 08, 2024",20:30,72,E2024_72,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,84,MACCABI PLAYTIKA TEL AVIV,TEL,77,True
72,RS,9,"Nov 12, 2024",18:45,73,E2024_73,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,87,FC BAYERN MUNICH,MUN,76,True
73,RS,9,"Nov 12, 2024",19:00,74,E2024_74,Regular Season,AS MONACO,MCO,90,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,98,True
74,RS,9,"Nov 12, 2024",20:00,75,E2024_75,Regular Season,ALBA BERLIN,BER,105,EA7 EMPORIO ARMANI MILAN,MIL,101,True
75,RS,9,"Nov 12, 2024",20:00,76,E2024_76,Regular Season,OLYMPIACOS PIRAEUS,OLY,94,LDLC ASVEL VILLEURBANNE,ASV,92,True
76,RS,9,"Nov 12, 2024",20:15,77,E2024_77,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,93,MACCABI PLAYTIKA TEL AVIV,TEL,87,True
77,RS,9,"Nov 12, 2024",20:30,78,E2024_78,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,84,ANADOLU EFES ISTANBUL,IST,89,True
78,RS,9,"Nov 12, 2024",20:45,79,E2024_79,Regular Season,REAL MADRID,MAD,98,VIRTUS SEGAFREDO BOLOGNA,VIR,86,True
79,RS,9,"Nov 13, 2024",18:00,80,E2024_80,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,79,FC BARCELONA,BAR,87,True
80,RS,9,"Nov 13, 2024",20:30,81,E2024_81,Regular Season,PARIS BASKETBALL,PRS,83,ZALGIRIS KAUNAS,ZAL,77,True
81,RS,10,"Nov 14, 2024",20:00,82,E2024_82,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,77,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,74,True
82,RS,10,"Nov 14, 2024",20:30,83,E2024_83,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,75,AS MONACO,MCO,87,True
83,RS,10,"Nov 14, 2024",20:30,84,E2024_84,Regular Season,FC BAYERN MUNICH,MUN,115,ALBA BERLIN,BER,88,True
84,RS,10,"Nov 14, 2024",20:45,85,E2024_85,Regular Season,REAL MADRID,MAD,64,ANADOLU EFES ISTANBUL,IST,74,True
85,RS,10,"Nov 14, 2024",19:00,86,E2024_86,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,91,OLYMPIACOS PIRAEUS,OLY,94,True
86,RS,10,"Nov 15, 2024",19:00,87,E2024_87,Regular Season,ZALGIRIS KAUNAS,ZAL,65,FENERBAHCE BEKO ISTANBUL,ULK,72,True
87,RS,10,"Nov 15, 2024",20:30,88,E2024_88,Regular Season,FC BARCELONA,BAR,87,PARIS BASKETBALL,PRS,103,True
88,RS,10,"Nov 15, 2024",20:30,89,E2024_89,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,81,EA7 EMPORIO ARMANI MILAN,MIL,88,True
89,RS,10,"Nov 15, 2024",20:30,90,E2024_90,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,77,PANATHINAIKOS AKTOR ATHENS,PAN,82,True
90,RS,11,"Nov 20, 2024",20:30,91,E2024_91,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,82,FENERBAHCE BEKO ISTANBUL,ULK,86,True
91,RS,11,"Nov 21, 2024",19:00,92,E2024_92,Regular Season,AS MONACO,MCO,103,LDLC ASVEL VILLEURBANNE,ASV,92,True
92,RS,11,"Nov 21, 2024",20:00,93,E2024_93,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,PARTIZAN MOZZART BET BELGRADE,PAR,89,True
93,RS,11,"Nov 21, 2024",20:15,94,E2024_94,Regular Season,OLYMPIACOS PIRAEUS,OLY,92,BASKONIA VITORIA-GASTEIZ,BAS,69,True
94,RS,11,"Nov 21, 2024",20:30,95,E2024_95,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,98,MACCABI PLAYTIKA TEL AVIV,TEL,86,True
95,RS,11,"Nov 21, 2024",20:45,96,E2024_96,Regular Season,REAL MADRID,MAD,98,ALBA BERLIN,BER,84,True
96,RS,11,"Nov 21, 2024",18:30,97,E2024_97,Regular Season,ANADOLU EFES ISTANBUL,IST,84,PARIS BASKETBALL,PRS,93,True
97,RS,11,"Nov 22, 2024",19:00,98,E2024_98,Regular Season,ZALGIRIS KAUNAS,ZAL,84,PANATHINAIKOS AKTOR ATHENS,PAN,77,True
98,RS,11,"Nov 22, 2024",20:30,99,E2024_99,Regular Season,FC BAYERN MUNICH,MUN,100,FC BARCELONA,BAR,78,True
99,RS,12,"Nov 28, 2024",19:00,100,E2024_100,Regular Season,ZALGIRIS KAUNAS,ZAL,70,BASKONIA VITORIA-GASTEIZ,BAS,83,True
100,RS,12,"Nov 28, 2024",20:00,101,E2024_101,Regular Season,ALBA BERLIN,BER,85,MACCABI PLAYTIKA TEL AVIV,TEL,103,True
101,RS,12,"Nov 28, 2024",20:30,102,E2024_102,Regular Season,PARIS BASKETBALL,PRS,81,VIRTUS SEGAFREDO BOLOGNA,VIR,78,True
102,RS,12,"Nov 28, 2024",20:30,103,E2024_103,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,78,OLYMPIACOS PIRAEUS,OLY,70,True
103,RS,12,"Nov 29, 2024",18:45,104,E2024_104,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,85,EA7 EMPORIO ARMANI MILAN,MIL,91,True
104,RS,12,"Nov 29, 2024",20:00,105,E2024_105,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,101,FC BAYERN MUNICH,MUN,77,True
105,RS,12,"Nov 29, 2024",20:15,106,E2024_106,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,88,AS MONACO,MCO,91,True
106,RS,12,"Nov 28, 2024",20:45,107,E2024_107,Regular Season,FC BARCELONA,BAR,90,REAL MADRID,MAD,97,True
107,RS,12,"Nov 29, 2024",21:00,108,E2024_108,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,97,ANADOLU EFES ISTANBUL,IST,82,True
108,RS,13,"Dec 03, 2024",18:30,109,E2024_109,Regular Season,ANADOLU EFES ISTANBUL,IST,101,FC BAYERN MUNICH,MUN,90,True
109,RS,13,"Dec 03, 2024",20:00,110,E2024_110,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,80,REAL MADRID,MAD,78,True
110,RS,13,"Dec 03, 2024",20:15,111,E2024_111,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,90,FC BARCELONA,BAR,89,True
111,RS,13,"Dec 03, 2024",20:30,112,E2024_112,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,88,FENERBAHCE BEKO ISTANBUL,ULK,76,True
112,RS,13,"Dec 03, 2024",20:30,113,E2024_113,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,84,ZALGIRIS KAUNAS,ZAL,78,True
113,RS,13,"Dec 03, 2024",20:05,114,E2024_114,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,81,PARIS BASKETBALL,PRS,93,True
114,RS,13,"Dec 04, 2024",19:00,115,E2024_115,Regular Season,AS MONACO,MCO,80,OLYMPIACOS PIRAEUS,OLY,89,True
115,RS,13,"Dec 04, 2024",20:30,116,E2024_116,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,101,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,86,True
116,RS,13,"Dec 04, 2024",20:45,117,E2024_117,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,88,ALBA BERLIN,BER,90,True
